11934,18,,,,,,,,,,,,,,,,
"Lever_position","ship_speed","gt_torque","gt_revs","gg_revs","star_prop_torque","port_prop_torque","hp_exit_temp","gt_in_airT","gt_out_airT","HP_exit_pres","GT_in_pres","GT_out_pres","gas_exhaust_pres","turb_injec","fuel_flow","GT_compre_coef","GT_turb_coef"
8.206,24,50995,3087.6,9325.2,437.97,437.97,930.96,288,738.25,3.559,0.998,18.213,1.041,60.482,1.197,0.951,0.995
9.3,27,72778,3560.4,9792.5,644.82,644.82,1097,288,785.98,4.474,0.998,22.277,1.049,90.381,1.789,0.951,0.995
1.138,3,518.67,1360.1,6735.8,8.155,8.155,454.89,288,548.76,1.105,0.998,5.89,1.019,0,0.073,0.951,0.996
2.088,6,4682.3,1344.8,6860.4,22.443,22.443,564.81,288,569.15,1.253,0.998,6.722,1.019,23.083,0.217,0.951,0.996
3.144,9,8381.3,1386.8,7163.9,60.375,60.375,588.41,288,584.23,1.387,0.998,7.422,1.02,12.36,0.245,0.951,0.996
4.161,12,14726,1547.5,7832.9,113.82,113.82,642.48,288,610.25,1.653,0.998,8.819,1.022,17.203,0.341,0.951,0.996
5.14,15,21639,1924.3,8513,175.33,175.33,710.48,288,641.58,2.073,0.998,10.96,1.026,25.177,0.498,0.951,0.996
6.175,18,29798,2307.2,8849,246.33,246.33,776.76,288,671.51,2.494,0.998,13.071,1.03,34.224,0.678,0.951,0.996
7.148,21,38975,2678.1,9142.5,332.07,332.07,832.52,288,696.06,2.951,0.998,15.326,1.035,44.154,0.874,0.951,0.996
8.206,24,50995,3087.6,9325.6,438,438,929.94,288,738.1,3.558,0.998,18.192,1.041,60.388,1.195,0.951,0.996
9.3,27,72779,3560.4,9793.2,645.02,645.02,1096.1,288,785.85,4.473,0.998,22.25,1.049,90.278,1.787,0.951,0.996
1.138,3,817.08,1372.8,6747,8.879,8.879,462.9,288,550.49,1.118,0.998,5.956,1.019,0,0.082,0.951,0.997
2.088,6,4432.1,1344.6,6862.7,22.406,22.406,557.24,288,568,1.245,0.998,6.673,1.019,22.945,0.208,0.951,0.997
3.144,9,8381.4,1386.8,7166.5,60.375,60.375,587.62,288,584.08,1.386,0.998,7.415,1.02,12.327,0.244,0.951,0.997
4.161,12,14726,1547.5,7834.9,113.8,113.8,641.63,288,610.09,1.653,0.998,8.811,1.022,17.162,0.34,0.951,0.997
5.14,15,21640,1924.4,8513.9,175.32,175.32,709.53,288,641.4,2.073,0.998,10.949,1.026,25.123,0.497,0.951,0.997
6.175,18,29798,2307.2,8850,246.33,246.33,775.7,288,671.3,2.494,0.998,13.058,1.03,34.154,0.676,0.951,0.997
7.148,21,38975,2678.1,9143,332.03,332.03,831.52,288,695.89,2.951,0.998,15.309,1.035,44.076,0.873,0.951,0.997
8.206,24,50995,3087.6,9326,437.97,437.97,928.93,288,737.95,3.558,0.998,18.172,1.041,60.294,1.194,0.951,0.997
9.3,27,72781,3560.5,9793.9,645.18,645.18,1095.3,288,785.73,4.472,0.998,22.224,1.049,90.178,1.785,0.951,0.997
1.138,3,792.33,1371.7,6748.9,8.812,8.812,461.52,288,550.13,1.117,0.998,5.943,1.019,0,0.08,0.951,0.998
2.088,6,4357.5,1344.6,6865.3,22.408,22.408,554.32,288,567.5,1.243,0.998,6.651,1.019,22.891,0.205,0.951,0.998
3.144,9,8381.5,1386.8,7169.1,60.386,60.386,586.82,288,583.94,1.386,0.998,7.408,1.02,12.294,0.243,0.951,0.998
4.161,12,14726,1547.5,7836.9,113.82,113.82,640.77,288,609.93,1.653,0.998,8.802,1.022,17.121,0.339,0.951,0.998
5.14,15,21640,1924.4,8514.9,175.33,175.33,708.59,288,641.23,2.072,0.998,10.938,1.026,25.068,0.496,0.951,0.998
6.175,18,29799,2307.2,8851,246.32,246.32,774.63,288,671.08,2.494,0.998,13.045,1.03,34.085,0.675,0.951,0.998
7.148,21,38975,2678.1,9143.5,332.1,332.1,830.52,288,695.73,2.95,0.998,15.293,1.035,43.997,0.871,0.951,0.998
8.206,24,50995,3087.6,9326.4,438.04,438.04,927.92,288,737.8,3.557,0.998,18.152,1.041,60.2,1.192,0.951,0.998
9.3,27,72781,3560.7,9794.6,644.94,644.94,1094.4,288,785.6,4.471,0.998,22.198,1.049,90.078,1.783,0.951,0.998
1.138,3,1096.7,1383.3,6759.3,9.49,9.49,469.73,288,551.76,1.131,0.998,6.005,1.019,0,0.09,0.951,0.999
2.088,6,4098.9,1345.1,6868.1,22.488,22.488,546.17,288,566.31,1.235,0.998,6.6,1.019,22.154,0.195,0.951,0.999
3.144,9,8381.5,1386.8,7171.7,60.377,60.377,586.03,288,583.79,1.386,0.998,7.401,1.02,12.26,0.243,0.951,0.999
4.161,12,14726,1547.5,7839,113.8,113.8,639.92,288,609.78,1.653,0.998,8.793,1.022,17.08,0.338,0.951,0.999
5.14,15,21640,1924.4,8515.8,175.33,175.33,707.64,288,641.05,2.072,0.998,10.927,1.026,25.014,0.495,0.951,0.999
6.175,18,29799,2307.2,8852.1,246.32,246.32,773.57,288,670.87,2.493,0.998,13.031,1.03,34.015,0.673,0.951,0.999
7.148,21,38974,2678.1,9144,332.01,332.01,829.53,288,695.57,2.95,0.998,15.276,1.035,43.919,0.87,0.951,0.999
8.206,24,50995,3087.6,9326.8,437.97,437.97,926.92,288,737.66,3.556,0.998,18.132,1.041,60.106,1.19,0.951,0.999
9.3,27,72783,3560.7,9795.4,645.25,645.25,1093.6,288,785.48,4.47,0.998,22.172,1.049,89.979,1.781,0.951,0.999
1.138,3,1133.1,1384.2,6762.4,9.538,9.538,470.25,288,551.87,1.132,0.998,6.01,1.019,0,0.091,0.951,1
2.088,6,3923.3,1345.8,6871.1,22.605,22.605,540.22,288,565.46,1.229,0.998,6.564,1.019,21.315,0.188,0.951,1
3.144,9,8381.7,1386.8,7174.3,60.393,60.393,585.24,288,583.64,1.386,0.998,7.394,1.02,12.227,0.242,0.951,1
4.161,12,14726,1547.5,7841,113.82,113.82,639.07,288,609.62,1.653,0.998,8.784,1.022,17.038,0.337,0.951,1
5.14,15,21640,1924.4,8516.7,175.32,175.32,706.7,288,640.87,2.072,0.998,10.916,1.026,24.96,0.494,0.951,1
6.175,18,29799,2307.2,8853.1,246.32,246.32,772.51,288,670.66,2.493,0.998,13.018,1.03,33.946,0.672,0.951,1
7.148,21,38974,2678.1,9144.5,332.12,332.12,828.53,288,695.4,2.949,0.998,15.26,1.035,43.84,0.868,0.951,1
8.206,24,50995,3087.6,9327.2,437.96,437.96,925.92,288,737.51,3.555,0.998,18.111,1.041,60.012,1.188,0.951,1
9.3,27,72782,3560.7,9796.1,645.21,645.21,1092.7,288,785.35,4.468,0.998,22.146,1.049,89.875,1.779,0.951,1
1.138,3,408.23,1332,6661.7,6.616,6.616,477.4,288,550.97,1.099,0.998,5.977,1.019,17.335,0.105,0.952,0.975
2.088,6,6947,1369.2,6819.6,26.915,26.915,636.15,288,581.01,1.329,0.998,7.273,1.019,14.287,0.291,0.952,0.975
3.144,9,8379,1386.8,7107.2,60.351,60.351,605.06,288,587.14,1.389,0.998,7.575,1.02,13.052,0.258,0.952,0.975
4.161,12,14724,1547.5,7788,113.79,113.79,660.52,288,613.4,1.658,0.998,9.009,1.022,18.072,0.358,0.952,0.975
5.14,15,21636,1924.3,8492.8,175.32,175.32,730.4,288,645.13,2.079,0.998,11.2,1.026,26.325,0.521,0.952,0.975
6.175,18,29792,2307.4,8826.2,246.22,246.22,799.36,288,675.9,2.502,0.998,13.36,1.03,35.708,0.707,0.952,0.975
7.148,21,38983,2678.1,9131.4,332.22,332.22,853.37,288,699.31,2.965,0.998,15.685,1.035,45.809,0.907,0.952,0.975
8.206,24,50996,3087.5,9317.3,438.01,438.01,950.76,288,741.12,3.578,0.998,18.639,1.041,62.361,1.235,0.952,0.975
9.3,27,72763,3560.4,9776.1,644.9,644.9,1113.4,288,788.35,4.5,0.998,22.824,1.049,92.397,1.829,0.952,0.975
1.138,3,311.38,1350.5,6676.1,7.638,7.638,462.81,288,550.13,1.097,0.998,5.946,1.019,6.304,0.08,0.952,0.976
2.088,6,6940.6,1368.7,6821.8,26.826,26.826,635.18,288,580.8,1.329,0.998,7.263,1.019,14.08,0.29,0.952,0.976
3.144,9,8379.1,1386.8,7109.8,60.346,60.346,604.23,288,586.99,1.389,0.998,7.568,1.02,13.017,0.258,0.952,0.976
4.161,12,14724,1547.5,7790,113.8,113.8,659.62,288,613.24,1.658,0.998,9,1.022,18.029,0.357,0.952,0.976
5.14,15,21636,1924.3,8493.7,175.28,175.28,729.4,288,644.95,2.079,0.998,11.188,1.026,26.268,0.52,0.952,0.976
6.175,18,29792,2307.4,8827.2,246.21,246.21,798.22,288,675.67,2.502,0.998,13.346,1.03,35.635,0.706,0.952,0.976
7.148,21,38983,2678.1,9131.9,332.09,332.09,852.33,288,699.14,2.964,0.998,15.668,1.035,45.727,0.905,0.952,0.976
8.206,24,50997,3087.6,9317.7,438.11,438.11,949.71,288,740.95,3.577,0.998,18.618,1.041,62.264,1.233,0.952,0.976
9.3,27,72763,3560.4,9776.9,645.04,645.04,1112.5,288,788.21,4.499,0.998,22.797,1.049,92.29,1.827,0.952,0.976
1.138,3,477.1,1359.9,6685.1,8.162,8.162,464.68,288,551.02,1.104,0.998,5.981,1.019,1.102,0.079,0.952,0.977
2.088,6,6794.1,1363.1,6820.9,25.79,25.79,631.98,288,580.05,1.323,0.998,7.227,1.019,17.266,0.288,0.952,0.977
3.144,9,8379.2,1386.8,7112.3,60.346,60.346,603.4,288,586.84,1.389,0.998,7.56,1.02,12.983,0.257,0.952,0.977
4.161,12,14724,1547.5,7792,113.8,113.8,658.72,288,613.08,1.658,0.998,8.991,1.022,17.985,0.356,0.952,0.977
5.14,15,21636,1924.3,8494.7,175.3,175.3,728.41,288,644.76,2.078,0.998,11.177,1.026,26.211,0.519,0.952,0.977
6.175,18,29793,2307.4,8828.2,246.21,246.21,797.09,288,675.45,2.501,0.998,13.332,1.03,35.561,0.704,0.952,0.977
7.148,21,38983,2678.1,9132.4,332.11,332.11,851.28,288,698.96,2.963,0.998,15.651,1.035,45.646,0.904,0.952,0.977
8.206,24,50997,3087.6,9318.1,438.13,438.13,948.67,288,740.79,3.576,0.998,18.596,1.041,62.166,1.231,0.952,0.977
9.3,27,72764,3560.4,9777.7,644.99,644.99,1111.6,288,788.06,4.498,0.998,22.769,1.049,92.182,1.825,0.952,0.977
1.138,3,929,1378.3,6700.3,9.224,9.224,477.51,288,553.65,1.124,0.998,6.083,1.019,0,0.093,0.952,0.978
2.088,6,6700.4,1360.7,6822,25.366,25.366,629.2,288,579.49,1.319,0.998,7.2,1.019,18.087,0.286,0.952,0.978
3.144,9,8379.3,1386.8,7114.9,60.36,60.36,602.57,288,586.69,1.389,0.998,7.553,1.02,12.949,0.256,0.952,0.978
4.161,12,14724,1547.5,7794,113.79,113.79,657.82,288,612.91,1.657,0.998,8.982,1.022,17.943,0.355,0.952,0.978
5.14,15,21636,1924.3,8495.6,175.32,175.32,727.41,288,644.58,2.078,0.998,11.165,1.026,26.154,0.518,0.952,0.978
6.175,18,29793,2307.4,8829.3,246.23,246.23,795.96,288,675.22,2.501,0.998,13.318,1.03,35.488,0.703,0.952,0.978
7.148,21,38982,2678.1,9132.9,332.13,332.13,850.24,288,698.79,2.963,0.998,15.633,1.035,45.564,0.902,0.952,0.978
8.206,24,50997,3087.6,9318.4,438.09,438.09,947.62,288,740.62,3.575,0.998,18.575,1.041,62.069,1.229,0.952,0.978
9.3,27,72765,3560.4,9778.5,644.76,644.76,1110.7,288,787.92,4.496,0.998,22.742,1.049,92.076,1.823,0.952,0.978
1.138,3,1467.6,1394.9,6714.4,10.206,10.206,493.06,288,556.85,1.148,0.998,6.211,1.019,0,0.111,0.952,0.979
2.088,6,6632.5,1359.1,6823.5,25.066,25.066,626.96,288,579.07,1.317,0.998,7.181,1.019,18.861,0.284,0.952,0.979
3.144,9,8379.4,1386.8,7117.5,60.355,60.355,601.75,288,586.54,1.389,0.998,7.545,1.02,12.915,0.256,0.952,0.979
4.161,12,14725,1547.5,7796,113.8,113.8,656.92,288,612.75,1.657,0.998,8.973,1.022,17.9,0.354,0.952,0.979
5.14,15,21637,1924.3,8496.5,175.28,175.28,726.42,288,644.4,2.078,0.998,11.154,1.026,26.098,0.517,0.952,0.979
6.175,18,29793,2307.4,8830.3,246.3,246.3,794.84,288,675,2.501,0.998,13.305,1.03,35.415,0.701,0.952,0.979
7.148,21,38982,2678.1,9133.4,332.18,332.18,849.21,288,698.61,2.962,0.998,15.616,1.035,45.483,0.901,0.952,0.979
8.206,24,50998,3087.6,9318.8,438.11,438.11,946.58,288,740.46,3.574,0.998,18.553,1.041,61.972,1.227,0.952,0.979
9.3,27,72766,3560.4,9779.3,644.93,644.93,1109.8,288,787.78,4.495,0.998,22.714,1.049,91.97,1.821,0.952,0.979
1.138,3,1962.4,1405.1,6724.3,10.829,10.829,507.6,288,559.44,1.168,0.998,6.316,1.019,0,0.127,0.952,0.98
2.088,6,6609.5,1358.7,6825.8,25,25,625.62,288,578.86,1.316,0.998,7.171,1.019,19.159,0.283,0.952,0.98
3.144,9,8379.5,1386.8,7120.1,60.364,60.364,600.92,288,586.39,1.389,0.998,7.538,1.02,12.881,0.255,0.952,0.98
4.161,12,14725,1547.5,7798,113.79,113.79,656.03,288,612.59,1.657,0.998,8.964,1.022,17.857,0.353,0.952,0.98
5.14,15,21637,1924.3,8497.4,175.3,175.3,725.43,288,644.21,2.078,0.998,11.142,1.026,26.042,0.515,0.952,0.98
6.175,18,29794,2307.4,8831.3,246.29,246.29,793.72,288,674.77,2.5,0.998,13.291,1.03,35.342,0.7,0.952,0.98
7.148,21,38981,2678.1,9133.9,332.19,332.19,848.17,288,698.44,2.962,0.998,15.599,1.035,45.401,0.899,0.952,0.98
8.206,24,50998,3087.6,9319.2,438.15,438.15,945.54,288,740.3,3.573,0.998,18.532,1.041,61.875,1.225,0.952,0.98
9.3,27,72767,3560.4,9780.1,644.74,644.74,1108.9,288,787.63,4.494,0.998,22.687,1.049,91.864,1.818,0.952,0.98
1.138,3,2212.1,1409.6,6730,11.098,11.098,514.6,288,560.67,1.178,0.998,6.367,1.019,0,0.135,0.952,0.981
2.088,6,6413.4,1355.5,6826.4,24.417,24.417,620.37,288,577.94,1.309,0.998,7.128,1.019,20.421,0.278,0.952,0.981
3.144,9,8379.6,1386.8,7122.7,60.358,60.358,600.1,288,586.24,1.388,0.998,7.531,1.02,12.847,0.254,0.952,0.981
4.161,12,14725,1547.5,7800,113.79,113.79,655.14,288,612.43,1.657,0.998,8.954,1.022,17.815,0.353,0.952,0.981
5.14,15,21637,1924.3,8498.3,175.28,175.28,724.45,288,644.03,2.077,0.998,11.131,1.026,25.985,0.514,0.952,0.981
6.175,18,29794,2307.3,8832.4,246.31,246.31,792.6,288,674.55,2.5,0.998,13.277,1.03,35.269,0.698,0.952,0.981
7.148,21,38981,2678.1,9134.4,332.19,332.19,847.14,288,698.26,2.961,0.998,15.582,1.035,45.32,0.897,0.952,0.981
8.206,24,50998,3087.6,9319.5,437.99,437.99,944.51,288,740.13,3.572,0.998,18.511,1.041,61.778,1.223,0.952,0.981
9.3,27,72767,3560.4,9780.9,645.04,645.04,1108,288,787.49,4.493,0.998,22.66,1.049,91.758,1.816,0.952,0.981
1.138,3,2852.6,1415.9,6737.3,11.495,11.495,533.72,288,563.91,1.203,0.998,6.502,1.019,0,0.158,0.952,0.982
2.088,6,6441.7,1356.1,6829.3,24.516,24.516,620.05,288,577.86,1.31,0.998,7.124,1.019,19.883,0.277,0.952,0.982
3.144,9,8379.7,1386.8,7125.3,60.353,60.353,599.28,288,586.09,1.388,0.998,7.523,1.02,12.813,0.254,0.952,0.982
4.161,12,14725,1547.5,7802.1,113.79,113.79,654.25,288,612.26,1.656,0.998,8.945,1.022,17.772,0.352,0.952,0.982
5.14,15,21637,1924.3,8499.2,175.32,175.32,723.46,288,643.85,2.077,0.998,11.119,1.026,25.929,0.513,0.952,0.982
6.175,18,29794,2307.3,8833.4,246.26,246.26,791.48,288,674.32,2.5,0.998,13.263,1.03,35.196,0.697,0.952,0.982
7.148,21,38981,2678.1,9134.9,332.15,332.15,846.11,288,698.09,2.96,0.998,15.565,1.035,45.24,0.896,0.952,0.982
8.206,24,50998,3087.6,9319.9,438,438,943.47,288,739.97,3.571,0.998,18.489,1.041,61.682,1.221,0.952,0.982
9.3,27,72768,3560.4,9781.6,644.85,644.85,1107.1,288,787.35,4.492,0.998,22.632,1.049,91.652,1.814,0.952,0.982
1.138,3,3581.6,1418.5,6742,11.667,11.667,555.25,288,567.19,1.229,0.998,6.642,1.019,0,0.183,0.952,0.983
2.088,6,6224.3,1353.2,6830.1,23.991,23.991,614.24,288,576.89,1.303,0.998,7.079,1.019,21.196,0.271,0.952,0.983
3.144,9,8379.8,1386.8,7127.9,60.362,60.362,598.46,288,585.94,1.388,0.998,7.516,1.02,12.779,0.253,0.952,0.983
4.161,12,14725,1547.5,7804.1,113.8,113.8,653.36,288,612.1,1.656,0.998,8.936,1.022,17.73,0.351,0.952,0.983
5.14,15,21637,1924.3,8500.1,175.32,175.32,722.48,288,643.66,2.077,0.998,11.108,1.026,25.873,0.512,0.952,0.983
6.175,18,29795,2307.3,8834.4,246.31,246.31,790.37,288,674.1,2.499,0.998,13.249,1.03,35.123,0.695,0.952,0.983
7.148,21,38980,2678.1,9135.4,332.19,332.19,845.08,288,697.92,2.96,0.998,15.548,1.035,45.158,0.894,0.952,0.983
8.206,24,50998,3087.6,9320.3,437.99,437.99,942.44,288,739.81,3.571,0.998,18.468,1.041,61.585,1.219,0.952,0.983
9.3,27,72769,3560.4,9782.4,644.77,644.77,1106.3,288,787.21,4.49,0.998,22.605,1.049,91.547,1.812,0.952,0.983
1.138,3,4451.8,1416.5,6743.8,11.552,11.552,580.78,288,570.86,1.258,0.998,6.803,1.019,0,0.213,0.952,0.984
2.088,6,6102.4,1351.7,6831.7,23.708,23.708,610.64,288,576.32,1.299,0.998,7.053,1.019,21.991,0.268,0.952,0.984
3.144,9,8379.9,1386.8,7130.5,60.362,60.362,597.64,288,585.79,1.388,0.998,7.509,1.02,12.745,0.252,0.952,0.984
4.161,12,14725,1547.5,7806.1,113.79,113.79,652.48,288,611.94,1.656,0.998,8.927,1.022,17.687,0.35,0.952,0.984
5.14,15,21637,1924.3,8501,175.29,175.29,721.5,288,643.48,2.076,0.998,11.097,1.026,25.817,0.511,0.952,0.984
6.175,18,29795,2307.3,8835.5,246.29,246.29,789.26,288,673.88,2.499,0.998,13.236,1.03,35.051,0.694,0.952,0.984
7.148,21,38980,2678.1,9135.9,332.15,332.15,844.04,288,697.75,2.959,0.998,15.531,1.035,45.077,0.892,0.952,0.984
8.206,24,50998,3087.6,9320.6,438.07,438.07,941.42,288,739.65,3.57,0.998,18.447,1.041,61.489,1.217,0.952,0.984
9.3,27,72769,3560.4,9783.2,644.77,644.77,1105.4,288,787.07,4.489,0.998,22.578,1.049,91.441,1.81,0.952,0.984
1.138,3,5667.7,1405.4,6739.9,10.889,10.889,614.91,288,575.43,1.295,0.998,7.009,1.019,0,0.255,0.952,0.985
2.088,6,6051.1,1351.3,6834,23.631,23.631,608.52,288,575.95,1.297,0.998,7.036,1.019,21.978,0.266,0.952,0.985
3.144,9,8380,1386.8,7133,60.359,60.359,596.82,288,585.64,1.388,0.998,7.502,1.02,12.712,0.252,0.952,0.985
4.161,12,14725,1547.5,7808.1,113.81,113.81,651.59,288,611.78,1.656,0.998,8.918,1.022,17.645,0.349,0.952,0.985
5.14,15,21638,1924.3,8502,175.32,175.32,720.52,288,643.3,2.076,0.998,11.085,1.026,25.761,0.51,0.952,0.985
6.175,18,29795,2307.3,8836.5,246.26,246.26,788.16,288,673.66,2.499,0.998,13.222,1.03,34.979,0.693,0.952,0.985
7.148,21,38979,2678.1,9136.4,332.17,332.17,843.01,288,697.58,2.959,0.998,15.514,1.035,44.996,0.891,0.952,0.985
8.206,24,50998,3087.6,9321,438.03,438.03,940.39,288,739.49,3.569,0.998,18.425,1.041,61.393,1.215,0.952,0.985
9.3,27,72771,3560.4,9783.9,644.78,644.78,1104.5,288,786.94,4.488,0.998,22.551,1.049,91.337,1.808,0.952,0.985
1.138,3,6156.5,1399,6738.6,10.507,10.507,628.05,288,576.98,1.308,0.998,7.081,1.019,0,0.271,0.952,0.986
2.088,6,5898.6,1350,6835.7,23.403,23.403,603.9,288,575.2,1.292,0.998,7.001,1.019,22.264,0.261,0.952,0.986
3.144,9,8380.2,1386.8,7135.6,60.371,60.371,596.01,288,585.5,1.388,0.998,7.494,1.02,12.678,0.251,0.952,0.986
4.161,12,14725,1547.5,7810.1,113.8,113.8,650.71,288,611.62,1.656,0.998,8.909,1.022,17.603,0.348,0.952,0.986
5.14,15,21638,1924.3,8502.9,175.3,175.3,719.55,288,643.12,2.076,0.998,11.074,1.026,25.705,0.509,0.952,0.986
6.175,18,29795,2307.3,8837.5,246.29,246.29,787.06,288,673.44,2.498,0.998,13.208,1.03,34.907,0.691,0.952,0.986
7.148,21,38979,2678.1,9136.9,332.04,332.04,841.98,288,697.41,2.958,0.998,15.497,1.035,44.916,0.889,0.952,0.986
8.206,24,50997,3087.6,9321.3,438.13,438.13,939.37,288,739.33,3.568,0.998,18.404,1.041,61.297,1.214,0.952,0.986
9.3,27,72772,3560.4,9784.7,645.12,645.12,1103.6,288,786.8,4.487,0.998,22.524,1.049,91.233,1.806,0.952,0.986
1.138,3,7401.7,1370.6,6724,8.838,8.838,667.67,288,580.5,1.335,0.998,7.246,1.019,7.384,0.326,0.952,0.987
2.088,6,5719.1,1348.6,6837.5,23.158,23.158,598.68,288,574.37,1.287,0.998,6.963,1.019,22.711,0.255,0.952,0.987
3.144,9,8380.2,1386.8,7138.2,60.36,60.36,595.2,288,585.35,1.388,0.998,7.487,1.02,12.644,0.25,0.952,0.987
4.161,12,14725,1547.5,7812.2,113.81,113.81,649.83,288,611.46,1.655,0.998,8.9,1.022,17.561,0.348,0.952,0.987
5.14,15,21638,1924.3,8503.8,175.33,175.33,718.58,288,642.94,2.076,0.998,11.063,1.026,25.65,0.508,0.952,0.987
6.175,18,29796,2307.3,8838.6,246.32,246.32,785.96,288,673.22,2.498,0.998,13.195,1.03,34.835,0.69,0.952,0.987
7.148,21,38978,2678.1,9137.5,332.05,332.05,840.95,288,697.24,2.957,0.998,15.48,1.035,44.835,0.888,0.952,0.987
8.206,24,50997,3087.6,9321.7,438.09,438.09,938.35,288,739.17,3.567,0.998,18.383,1.041,61.202,1.212,0.952,0.987
9.3,27,72772,3560.4,9785.4,644.85,644.85,1102.7,288,786.66,4.485,0.998,22.497,1.049,91.128,1.804,0.952,0.987
1.138,3,7404.4,1353.2,6715.5,7.832,7.832,671.3,288,579.95,1.33,0.998,7.22,1.019,16.47,0.336,0.952,0.988
2.088,6,5364.8,1346.4,6838.6,22.743,22.743,589,288,572.87,1.275,0.998,6.896,1.019,23.463,0.244,0.952,0.988
3.144,9,8380.3,1386.8,7140.8,60.361,60.361,594.38,288,585.2,1.388,0.998,7.48,1.02,12.61,0.25,0.952,0.988
4.161,12,14725,1547.5,7814.2,113.81,113.81,648.96,288,611.3,1.655,0.998,8.891,1.022,17.518,0.347,0.952,0.988
5.14,15,21638,1924.3,8504.7,175.34,175.34,717.61,288,642.76,2.075,0.998,11.051,1.026,25.594,0.507,0.952,0.988
6.175,18,29796,2307.3,8839.6,246.34,246.34,784.87,288,673,2.498,0.998,13.181,1.03,34.764,0.688,0.952,0.988
7.148,21,38978,2678.1,9138,332.06,332.06,839.93,288,697.07,2.957,0.998,15.463,1.035,44.754,0.886,0.952,0.988
8.206,24,50997,3087.6,9322,438.08,438.08,937.34,288,739.01,3.566,0.998,18.362,1.041,61.107,1.21,0.952,0.988
9.3,27,72773,3560.4,9786.2,645.12,645.12,1101.8,288,786.53,4.484,0.998,22.47,1.049,91.024,1.802,0.952,0.988
1.138,3,5915.9,1321.5,6697.1,6.063,6.063,639.39,288,574.1,1.28,0.998,6.947,1.019,30.392,0.305,0.952,0.989
2.088,6,5450.6,1346.9,6841.4,22.84,22.84,590.26,288,573.01,1.278,0.998,6.902,1.019,23.027,0.246,0.952,0.989
3.144,9,8380.4,1386.8,7143.4,60.376,60.376,593.58,288,585.05,1.387,0.998,7.473,1.02,12.577,0.249,0.952,0.989
4.161,12,14725,1547.5,7816.2,113.79,113.79,648.08,288,611.14,1.655,0.998,8.882,1.022,17.477,0.346,0.952,0.989
5.14,15,21638,1924.3,8505.6,175.3,175.3,716.64,288,642.58,2.075,0.998,11.04,1.026,25.538,0.506,0.952,0.989
6.175,18,29796,2307.3,8840.6,246.31,246.31,783.77,288,672.78,2.497,0.998,13.168,1.03,34.692,0.687,0.952,0.989
7.148,21,38978,2678.1,9138.5,332.16,332.16,838.91,288,696.9,2.956,0.998,15.446,1.035,44.674,0.885,0.952,0.989
8.206,24,50997,3087.6,9322.4,438.13,438.13,936.33,288,738.85,3.565,0.998,18.341,1.041,61.012,1.208,0.952,0.989
9.3,27,72774,3560.4,9786.9,644.9,644.9,1101,288,786.39,4.483,0.998,22.443,1.049,90.92,1.8,0.952,0.989
1.138,3,5281.7,1315.7,6695.4,5.746,5.746,623.19,288,571.52,1.261,0.998,6.83,1.019,32.217,0.288,0.952,0.99
2.088,6,5341.3,1346.3,6843.7,22.734,22.734,586.59,288,572.4,1.274,0.998,6.875,1.019,23.042,0.242,0.952,0.99
3.144,9,8380.5,1386.8,7146,60.367,60.367,592.77,288,584.9,1.387,0.998,7.465,1.02,12.543,0.248,0.952,0.99
4.161,12,14725,1547.5,7818.3,113.8,113.8,647.21,288,610.98,1.655,0.998,8.874,1.022,17.435,0.345,0.952,0.99
5.14,15,21639,1924.3,8506.5,175.31,175.31,715.68,288,642.4,2.075,0.998,11.029,1.026,25.483,0.504,0.952,0.99
6.175,18,29797,2307.3,8841.7,246.32,246.32,782.69,288,672.56,2.497,0.998,13.154,1.03,34.621,0.685,0.952,0.99
7.148,21,38977,2678.1,9139,332.16,332.16,837.89,288,696.74,2.956,0.998,15.429,1.035,44.594,0.883,0.952,0.99
8.206,24,50997,3087.6,9322.8,438.13,438.13,935.32,288,738.69,3.564,0.998,18.32,1.041,60.917,1.206,0.952,0.99
9.3,27,72774,3560.4,9787.7,644.79,644.79,1100.1,288,786.26,4.482,0.998,22.416,1.049,90.816,1.798,0.952,0.99
1.138,3,4048,1309.4,6692.8,5.398,5.398,590.35,288,566.41,1.222,0.998,6.606,1.019,33.253,0.25,0.952,0.991
2.088,6,5121.8,1345.6,6845.8,22.604,22.604,580.06,288,571.41,1.268,0.998,6.831,1.019,23.055,0.234,0.952,0.991
3.144,9,8380.6,1386.8,7148.6,60.377,60.377,591.96,288,584.75,1.387,0.998,7.458,1.02,12.51,0.248,0.952,0.991
4.161,12,14725,1547.5,7820.3,113.81,113.81,646.34,288,610.82,1.655,0.998,8.865,1.022,17.393,0.344,0.952,0.991
5.14,15,21639,1924.3,8507.5,175.33,175.33,714.72,288,642.22,2.075,0.998,11.018,1.026,25.428,0.503,0.952,0.991
6.175,18,29797,2307.3,8842.7,246.29,246.29,781.6,288,672.34,2.497,0.998,13.141,1.03,34.55,0.684,0.952,0.991
7.148,21,38977,2678.1,9139.5,332.02,332.02,836.87,288,696.57,2.955,0.998,15.412,1.035,44.514,0.881,0.952,0.991
8.206,24,50997,3087.6,9323.1,437.98,437.98,934.31,288,738.54,3.563,0.998,18.299,1.041,60.822,1.204,0.952,0.991
9.3,27,72775,3560.4,9788.4,644.98,644.98,1099.2,288,786.13,4.481,0.998,22.39,1.049,90.712,1.796,0.952,0.991
